hotkey,stake
5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,tensor(245406.5000)
5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,tensor(285920.9062)
5HGgHc8kKgvDrSgNVXE7vwHtfQDjCWZ5RJBioZv64DNadHbX,0
5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,tensor(81113.8203)
5Hb63SvXBXqZ8zw6mwW1A39fHdqUrJvohXgepyhp2jgWedSB,tensor(153240.9062)
5F27Eqz2PhyMtGMEce898x31DokNqRVxkm5AhDDe6rDGNvoY,tensor(53253.5234)
5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,tensor(683043.8125)
5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,tensor(848642.3750)
5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,tensor(963124.4375)
5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,tensor(312997.6875)
5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,0
5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,tensor(531039.8750)
5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,0
5HbLYXUBy1snPR8nfioQ7GoA9x76EELzEq9j7F32vWUQHm1x,tensor(200985.6094)
